### BDSIM output created Fri Jun 28 09:34:48 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 4000 81.8732 224.144 3 -5.56985e-06 4.04414e-05
2212 4000 -7.88493 875.857 19.115 -5.56985e-06 4.04414e-05
2212 4000 -17.9107 948.652 20.915 -5.56985e-06 4.04414e-05
2212 4000 -21.0298 971.299 21.475 -5.56985e-06 4.04414e-05
2212 4000 -29.3288 1031.56 22.965 -5.56985e-06 4.04414e-05
2212 4000 -57.7076 1492.82 29.335 -3.07567e-06 0.000108632
2212 4000 -59.2731 1548.11 29.844 -3.07567e-06 0.000108632
2212 4000 -64.4617 1731.38 31.531 -3.07567e-06 0.000108632
2212 4000 -66.0642 1787.97 32.052 -3.07567e-06 0.000108632
2212 4000 -92.6519 2128.56 37.552 -6.80443e-06 1.24785e-05
2212 4000 -95.8568 2134.43 38.023 -6.80443e-06 1.24785e-05
2212 4000 -99.4699 2141.06 38.554 -6.80443e-06 1.24785e-05
2212 4000 -151.989 1930.16 44.054 -1.2712e-05 -8.7473e-05
2212 4000 -160.786 1869.63 44.746 -1.2712e-05 -8.7473e-05
2212 4000 -176.041 1764.66 45.946 -1.2712e-05 -8.7473e-05
2212 4000 -183.089 1716.16 46.5005 -1.2712e-05 -8.7473e-05
2212 4000 -185.924 1696.65 46.7235 -1.2712e-05 -8.7473e-05
2212 4000 -189.045 1675.18 46.969 -1.2712e-05 -8.7473e-05
2212 4000 -232.817 1390.07 53.339 -6.22887e-07 -4.67175e-06
2212 4000 -233.116 1387.82 53.82 -6.22887e-07 -4.67175e-06
2212 4000 -233.417 1385.56 54.303 -6.22887e-07 -4.67175e-06
2212 4000 -233.782 1382.83 54.888 -6.22887e-07 -4.67175e-06
2212 4000 -235.706 1368.39 57.978 -6.22887e-07 -4.67175e-06
2212 4000 -235.92 1366.79 58.3205 -6.22887e-07 -4.67175e-06
2212 4000 -236.734 1360.69 59.628 -6.22887e-07 -4.67175e-06
2212 4000 -238.852 1344.8 63.028 -6.22885e-07 -4.67175e-06
2212 4000 -239.391 1340.76 63.894 -6.22885e-07 -4.67175e-06
2212 4000 -241.509 1324.87 67.294 -6.22883e-07 -4.67175e-06
2212 4000 -242.048 1320.83 68.16 -6.22883e-07 -4.67175e-06
2212 4000 -244.166 1304.94 71.56 -6.22881e-07 -4.67175e-06
2212 4000 -244.706 1300.9 72.426 -6.22881e-07 -4.67175e-06
2212 4000 -246.823 1285.01 75.826 -6.22878e-07 -4.67175e-06
2212 4000 -247.363 1280.97 76.692 -6.22878e-07 -4.67175e-06
