ymax> 22.6
nx> 8
ny> 11
xmax> 26.0
xmin> -30.0
ymin> -25.0
! X	             Y	            Fx	            Fy	            Fz
-3.0000000E+01	-2.5000000E+01	 1.7652384E+00	 1.0822860E+00	 2.1221161E-01
-3.0000000E+01	-1.8200000E+01	 2.8584599E+00	 3.3318209E-01	 2.1221161E-01
-3.0000000E+01	-1.1400000E+01	 2.6800825E+00	-5.6413942E-01	 2.1221161E-01
-3.0000000E+01	-4.6000000E+00	 1.3094582E+00	-1.2105009E+00	 2.1221161E-01
-3.0000000E+01	 2.2000000E+00	-6.4368461E-01	-1.3183656E+00	 2.1221161E-01
-3.0000000E+01	 9.0000000E+00	-2.3104814E+00	-8.3974929E-01	 2.1221161E-01
-3.0000000E+01	 1.5800000E+01	-2.9494499E+00	 1.2433309E-02	 2.1221161E-01
-3.0000000E+01	 2.2600000E+01	-2.2763423E+00	 8.5908490E-01	 2.1221161E-01
-2.4400000E+01	-2.5000000E+01	 8.9061754E-01	 1.4872710E+00	 1.0309372E+00
-2.4400000E+01	-1.8200000E+01	 1.4421817E+00	 4.5785685E-01	 1.0309372E+00
-2.4400000E+01	-1.1400000E+01	 1.3521848E+00	-7.7523705E-01	 1.0309372E+00
-2.4400000E+01	-4.6000000E+00	 6.6066228E-01	-1.6634632E+00	 1.0309372E+00
-2.4400000E+01	 2.2000000E+00	-3.2475886E-01	-1.8116902E+00	 1.0309372E+00
-2.4400000E+01	 9.0000000E+00	-1.1657095E+00	-1.1539785E+00	 1.0309372E+00
-2.4400000E+01	 1.5800000E+01	-1.4880890E+00	 1.7085780E-02	 1.0309372E+00
-2.4400000E+01	 2.2600000E+01	-1.1484853E+00	 1.1805494E+00	 1.0309372E+00
-1.8800000E+01	-2.5000000E+01	-1.5978408E-01	 1.5987141E+00	 1.7693641E+00
-1.8800000E+01	-1.8200000E+01	-2.5873922E-01	 4.9216462E-01	 1.7693641E+00
-1.8800000E+01	-1.1400000E+01	-2.4259303E-01	-8.3332650E-01	 1.7693641E+00
-1.8800000E+01	-4.6000000E+00	-1.1852822E-01	-1.7881085E+00	 1.7693641E+00
-1.8800000E+01	 2.2000000E+00	 5.8264399E-02	-1.9474423E+00	 1.7693641E+00
-1.8800000E+01	 9.0000000E+00	 2.0913784E-01	-1.2404475E+00	 1.7693641E+00
-1.8800000E+01	 1.5800000E+01	 2.6697536E-01	 1.8366038E-02	 1.7693641E+00
-1.8800000E+01	 2.2600000E+01	 2.0604767E-01	 1.2690094E+00	 1.7693641E+00
-1.3200000E+01	-2.5000000E+01	-1.1786492E+00	 1.3946196E+00	 2.3699767E+00
-1.3200000E+01	-1.8200000E+01	-1.9085929E+00	 4.2933408E-01	 2.3699767E+00
-1.3200000E+01	-1.1400000E+01	-1.7894904E+00	-7.2694268E-01	 2.3699767E+00
-1.3200000E+01	-4.6000000E+00	-8.7432487E-01	-1.5598357E+00	 2.3699767E+00
-1.3200000E+01	 2.2000000E+00	 4.2978804E-01	-1.6988287E+00	 2.3699767E+00
-1.3200000E+01	 9.0000000E+00	 1.5427078E+00	-1.0820900E+00	 2.3699767E+00
-1.3200000E+01	 1.5800000E+01	 1.9693469E+00	 1.6021400E-02	 2.3699767E+00
-1.3200000E+01	 2.2600000E+01	 1.5199131E+00	 1.1070056E+00	 2.3699767E+00
-7.6000000E+00	-2.5000000E+01	-1.9648849E+00	 9.1526976E-01	 2.7859939E+00
-7.6000000E+00	-1.8200000E+01	-3.1817485E+00	 2.8176608E-01	 2.7859939E+00
-7.6000000E+00	-1.1400000E+01	-2.9831968E+00	-4.7708253E-01	 2.7859939E+00
-7.6000000E+00	-4.6000000E+00	-1.4575564E+00	-1.0236988E+00	 2.7859939E+00
-7.6000000E+00	 2.2000000E+00	 7.1648461E-01	-1.1149180E+00	 2.7859939E+00
-7.6000000E+00	 9.0000000E+00	 2.5717942E+00	-7.1016082E-01	 2.7859939E+00
-7.6000000E+00	 1.5800000E+01	 3.2830294E+00	 1.0514625E-02	 2.7859939E+00
-7.6000000E+00	 2.2600000E+01	 2.5337940E+00	 7.2651259E-01	 2.7859939E+00
-2.0000000E+00	-2.5000000E+01	-2.3633121E+00	 2.5527353E-01	 2.9850125E+00
-2.0000000E+00	-1.8200000E+01	-3.8269239E+00	 7.8586035E-02	 2.9850125E+00
-2.0000000E+00	-1.1400000E+01	-3.5881111E+00	-1.3306081E-01	 2.9850125E+00
-2.0000000E+00	-4.6000000E+00	-1.7531107E+00	-2.8551495E-01	 2.9850125E+00
-2.0000000E+00	 2.2000000E+00	 8.6176895E-01	-3.1095646E-01	 2.9850125E+00
-2.0000000E+00	 9.0000000E+00	 3.0932868E+00	-1.9806757E-01	 2.9850125E+00
-2.0000000E+00	 1.5800000E+01	 3.9487419E+00	 2.9325840E-03	 2.9850125E+00
-2.0000000E+00	 2.2600000E+01	 3.0475811E+00	 2.0262817E-01	 2.9850125E+00
 3.6000000E+00	-2.5000000E+01	-2.2952936E+00	-4.5510592E-01	 2.9515311E+00
 3.6000000E+00	-1.8200000E+01	-3.7167811E+00	-1.4010450E-01	 2.9515311E+00
 3.6000000E+00	-1.1400000E+01	-3.4848416E+00	 2.3722305E-01	 2.9515311E+00
 3.6000000E+00	-4.6000000E+00	-1.7026544E+00	 5.0902084E-01	 2.9515311E+00
 3.6000000E+00	 2.2000000E+00	 8.3696635E-01	 5.5437839E-01	 2.9515311E+00
 3.6000000E+00	 9.0000000E+00	 3.0042588E+00	 3.5311818E-01	 2.9515311E+00
 3.6000000E+00	 1.5800000E+01	 3.8350930E+00	-5.2282599E-03	 2.9515311E+00
 3.6000000E+00	 2.2600000E+01	 2.9598686E+00	-3.6124889E-01	 2.9515311E+00
 9.2000000E+00	-2.5000000E+01	-1.7742540E+00	-1.0756613E+00	 2.6881575E+00
