zmax> 29.0
ymax> 18.2
zmin> -35.0
nx> 9
ny> 7
nz> 10
xmax> 24.9
xmin> -30.0
ymin> -25.0
! X	             Y	             Z	            Fx	            Fy	            Fz
-3.0000000E+01	-2.5000000E+01	-3.5000000E+01	-3.3234762E+01	 7.1082286E+01	-2.9709625E+00
-3.0000000E+01	-2.5000000E+01	-2.7000000E+01	-2.5234762E+01	 5.5082286E+01	-2.2918853E+00
-3.0000000E+01	-2.5000000E+01	-1.9000000E+01	-1.7234762E+01	 3.9082286E+01	-1.6128082E+00
-3.0000000E+01	-2.5000000E+01	-1.1000000E+01	-9.2347616E+00	 2.3082286E+01	-9.3373106E-01
-3.0000000E+01	-2.5000000E+01	-3.0000000E+00	-1.2347616E+00	 7.0822860E+00	-2.5465393E-01
-3.0000000E+01	-2.5000000E+01	 5.0000000E+00	 6.7652384E+00	-8.9177140E+00	 4.2442321E-01
-3.0000000E+01	-2.5000000E+01	 1.3000000E+01	 1.4765238E+01	-2.4917714E+01	 1.1035003E+00
-3.0000000E+01	-2.5000000E+01	 2.1000000E+01	 2.2765238E+01	-4.0917714E+01	 1.7825775E+00
-3.0000000E+01	-2.5000000E+01	 2.9000000E+01	 3.0765238E+01	-5.6917714E+01	 2.4616546E+00
-3.0000000E+01	-1.7800000E+01	-3.5000000E+01	-3.2114736E+01	 7.0280562E+01	-2.9709625E+00
-3.0000000E+01	-1.7800000E+01	-2.7000000E+01	-2.4114736E+01	 5.4280562E+01	-2.2918853E+00
-3.0000000E+01	-1.7800000E+01	-1.9000000E+01	-1.6114736E+01	 3.8280562E+01	-1.6128082E+00
-3.0000000E+01	-1.7800000E+01	-1.1000000E+01	-8.1147359E+00	 2.2280562E+01	-9.3373106E-01
-3.0000000E+01	-1.7800000E+01	-3.0000000E+00	-1.1473588E-01	 6.2805617E+00	-2.5465393E-01
-3.0000000E+01	-1.7800000E+01	 5.0000000E+00	 7.8852641E+00	-9.7194383E+00	 4.2442321E-01
-3.0000000E+01	-1.7800000E+01	 1.3000000E+01	 1.5885264E+01	-2.5719438E+01	 1.1035003E+00
-3.0000000E+01	-1.7800000E+01	 2.1000000E+01	 2.3885264E+01	-4.1719438E+01	 1.7825775E+00
-3.0000000E+01	-1.7800000E+01	 2.9000000E+01	 3.1885264E+01	-5.7719438E+01	 2.4616546E+00
-3.0000000E+01	-1.0600000E+01	-3.5000000E+01	-3.2426922E+01	 6.9339570E+01	-2.9709625E+00
-3.0000000E+01	-1.0600000E+01	-2.7000000E+01	-2.4426922E+01	 5.3339570E+01	-2.2918853E+00
-3.0000000E+01	-1.0600000E+01	-1.9000000E+01	-1.6426922E+01	 3.7339570E+01	-1.6128082E+00
-3.0000000E+01	-1.0600000E+01	-1.1000000E+01	-8.4269222E+00	 2.1339570E+01	-9.3373106E-01
-3.0000000E+01	-1.0600000E+01	-3.0000000E+00	-4.2692220E-01	 5.3395698E+00	-2.5465393E-01
-3.0000000E+01	-1.0600000E+01	 5.0000000E+00	 7.5730778E+00	-1.0660430E+01	 4.2442321E-01
-3.0000000E+01	-1.0600000E+01	 1.3000000E+01	 1.5573078E+01	-2.6660430E+01	 1.1035003E+00
-3.0000000E+01	-1.0600000E+01	 2.1000000E+01	 2.3573078E+01	-4.2660430E+01	 1.7825775E+00
-3.0000000E+01	-1.0600000E+01	 2.9000000E+01	 3.1573078E+01	-5.8660430E+01	 2.4616546E+00
-3.0000000E+01	-3.4000000E+00	-3.5000000E+01	-3.4016355E+01	 6.8726408E+01	-2.9709625E+00
-3.0000000E+01	-3.4000000E+00	-2.7000000E+01	-2.6016355E+01	 5.2726408E+01	-2.2918853E+00
-3.0000000E+01	-3.4000000E+00	-1.9000000E+01	-1.8016355E+01	 3.6726408E+01	-1.6128082E+00
-3.0000000E+01	-3.4000000E+00	-1.1000000E+01	-1.0016355E+01	 2.0726408E+01	-9.3373106E-01
-3.0000000E+01	-3.4000000E+00	-3.0000000E+00	-2.0163549E+00	 4.7264079E+00	-2.5465393E-01
-3.0000000E+01	-3.4000000E+00	 5.0000000E+00	 5.9836451E+00	-1.1273592E+01	 4.2442321E-01
-3.0000000E+01	-3.4000000E+00	 1.3000000E+01	 1.3983645E+01	-2.7273592E+01	 1.1035003E+00
-3.0000000E+01	-3.4000000E+00	 2.1000000E+01	 2.1983645E+01	-4.3273592E+01	 1.7825775E+00
-3.0000000E+01	-3.4000000E+00	 2.9000000E+01	 2.9983645E+01	-5.9273592E+01	 2.4616546E+00
-3.0000000E+01	 3.8000000E+00	-3.5000000E+01	-3.6094058E+01	 6.8745442E+01	-2.9709625E+00
-3.0000000E+01	 3.8000000E+00	-2.7000000E+01	-2.8094058E+01	 5.2745442E+01	-2.2918853E+00
-3.0000000E+01	 3.8000000E+00	-1.9000000E+01	-2.0094058E+01	 3.6745442E+01	-1.6128082E+00
-3.0000000E+01	 3.8000000E+00	-1.1000000E+01	-1.2094058E+01	 2.0745442E+01	-9.3373106E-01
-3.0000000E+01	 3.8000000E+00	-3.0000000E+00	-4.0940577E+00	 4.7454425E+00	-2.5465393E-01
-3.0000000E+01	 3.8000000E+00	 5.0000000E+00	 3.9059423E+00	-1.1254558E+01	 4.2442321E-01
-3.0000000E+01	 3.8000000E+00	 1.3000000E+01	 1.1905942E+01	-2.7254558E+01	 1.1035003E+00
-3.0000000E+01	 3.8000000E+00	 2.1000000E+01	 1.9905942E+01	-4.3254558E+01	 1.7825775E+00
-3.0000000E+01	 3.8000000E+00	 2.9000000E+01	 2.7905942E+01	-5.9254558E+01	 2.4616546E+00
-3.0000000E+01	 1.1000000E+01	-3.5000000E+01	-3.7628683E+01	 6.9387225E+01	-2.9709625E+00
-3.0000000E+01	 1.1000000E+01	-2.7000000E+01	-2.9628683E+01	 5.3387225E+01	-2.2918853E+00
-3.0000000E+01	 1.1000000E+01	-1.9000000E+01	-2.1628683E+01	 3.7387225E+01	-1.6128082E+00
-3.0000000E+01	 1.1000000E+01	-1.1000000E+01	-1.3628683E+01	 2.1387225E+01	-9.3373106E-01
-3.0000000E+01	 1.1000000E+01	-3.0000000E+00	-5.6286828E+00	 5.3872250E+00	-2.5465393E-01
-3.0000000E+01	 1.1000000E+01	 5.0000000E+00	 2.3713172E+00	-1.0612775E+01	 4.2442321E-01
-3.0000000E+01	 1.1000000E+01	 1.3000000E+01	 1.0371317E+01	-2.6612775E+01	 1.1035003E+00
-3.0000000E+01	 1.1000000E+01	 2.1000000E+01	 1.8371317E+01	-4.2612775E+01	 1.7825775E+00
-3.0000000E+01	 1.1000000E+01	 2.9000000E+01	 2.6371317E+01	-5.8612775E+01	 2.4616546E+00
-3.0000000E+01	 1.8200000E+01	-3.5000000E+01	-3.7858460E+01	 7.0333182E+01	-2.9709625E+00
-3.0000000E+01	 1.8200000E+01	-2.7000000E+01	-2.9858460E+01	 5.4333182E+01	-2.2918853E+00
-3.0000000E+01	 1.8200000E+01	-1.9000000E+01	-2.1858460E+01	 3.8333182E+01	-1.6128082E+00
-3.0000000E+01	 1.8200000E+01	-1.1000000E+01	-1.3858460E+01	 2.2333182E+01	-9.3373106E-01
-3.0000000E+01	 1.8200000E+01	-3.0000000E+00	-5.8584599E+00	 6.3331821E+00	-2.5465393E-01
-3.0000000E+01	 1.8200000E+01	 5.0000000E+00	 2.1415401E+00	-9.6668179E+00	 4.2442321E-01
-3.0000000E+01	 1.8200000E+01	 1.3000000E+01	 1.0141540E+01	-2.5666818E+01	 1.1035003E+00
-3.0000000E+01	 1.8200000E+01	 2.1000000E+01	 1.8141540E+01	-4.1666818E+01	 1.7825775E+00
-3.0000000E+01	 1.8200000E+01	 2.9000000E+01	 2.6141540E+01	-5.7666818E+01	 2.4616546E+00
-2.3900000E+01	-2.5000000E+01	-3.5000000E+01	-3.4198953E+01	 7.1509919E+01	-1.5414563E+01
-2.3900000E+01	-2.5000000E+01	-2.7000000E+01	-2.6198953E+01	 5.5509919E+01	-1.1891234E+01
-2.3900000E+01	-2.5000000E+01	-1.9000000E+01	-1.8198953E+01	 3.9509919E+01	-8.3679055E+00
-2.3900000E+01	-2.5000000E+01	-1.1000000E+01	-1.0198953E+01	 2.3509919E+01	-4.8445769E+00
-2.3900000E+01	-2.5000000E+01	-3.0000000E+00	-2.1989531E+00	 7.5099195E+00	-1.3212482E+00
-2.3900000E+01	-2.5000000E+01	 5.0000000E+00	 5.8010469E+00	-8.4900805E+00	 2.2020804E+00
-2.3900000E+01	-2.5000000E+01	 1.3000000E+01	 1.3801047E+01	-2.4490081E+01	 5.7254091E+00
-2.3900000E+01	-2.5000000E+01	 2.1000000E+01	 2.1801047E+01	-4.0490081E+01	 9.2487377E+00
-2.3900000E+01	-2.5000000E+01	 2.9000000E+01	 2.9801047E+01	-5.6490081E+01	 1.2772066E+01
-2.3900000E+01	-1.7800000E+01	-3.5000000E+01	-3.3690697E+01	 7.0391417E+01	-1.5414563E+01
-2.3900000E+01	-1.7800000E+01	-2.7000000E+01	-2.5690697E+01	 5.4391417E+01	-1.1891234E+01
-2.3900000E+01	-1.7800000E+01	-1.9000000E+01	-1.7690697E+01	 3.8391417E+01	-8.3679055E+00
-2.3900000E+01	-1.7800000E+01	-1.1000000E+01	-9.6906971E+00	 2.2391417E+01	-4.8445769E+00
-2.3900000E+01	-1.7800000E+01	-3.0000000E+00	-1.6906971E+00	 6.3914175E+00	-1.3212482E+00
-2.3900000E+01	-1.7800000E+01	 5.0000000E+00	 6.3093029E+00	-9.6085825E+00	 2.2020804E+00
-2.3900000E+01	-1.7800000E+01	 1.3000000E+01	 1.4309303E+01	-2.5608583E+01	 5.7254091E+00
-2.3900000E+01	-1.7800000E+01	 2.1000000E+01	 2.2309303E+01	-4.1608583E+01	 9.2487377E+00
-2.3900000E+01	-1.7800000E+01	 2.9000000E+01	 3.0309303E+01	-5.7608583E+01	 1.2772066E+01
-2.3900000E+01	-1.0600000E+01	-3.5000000E+01	-3.3832364E+01	 6.9078620E+01	-1.5414563E+01
-2.3900000E+01	-1.0600000E+01	-2.7000000E+01	-2.5832364E+01	 5.3078620E+01	-1.1891234E+01
-2.3900000E+01	-1.0600000E+01	-1.9000000E+01	-1.7832364E+01	 3.7078620E+01	-8.3679055E+00
-2.3900000E+01	-1.0600000E+01	-1.1000000E+01	-9.8323640E+00	 2.1078620E+01	-4.8445769E+00
-2.3900000E+01	-1.0600000E+01	-3.0000000E+00	-1.8323640E+00	 5.0786203E+00	-1.3212482E+00
-2.3900000E+01	-1.0600000E+01	 5.0000000E+00	 6.1676360E+00	-1.0921380E+01	 2.2020804E+00
-2.3900000E+01	-1.0600000E+01	 1.3000000E+01	 1.4167636E+01	-2.6921380E+01	 5.7254091E+00
-2.3900000E+01	-1.0600000E+01	 2.1000000E+01	 2.2167636E+01	-4.2921380E+01	 9.2487377E+00
-2.3900000E+01	-1.0600000E+01	 2.9000000E+01	 3.0167636E+01	-5.8921380E+01	 1.2772066E+01
-2.3900000E+01	-3.4000000E+00	-3.5000000E+01	-3.4553632E+01	 6.8223185E+01	-1.5414563E+01
-2.3900000E+01	-3.4000000E+00	-2.7000000E+01	-2.6553632E+01	 5.2223185E+01	-1.1891234E+01
-2.3900000E+01	-3.4000000E+00	-1.9000000E+01	-1.8553632E+01	 3.6223185E+01	-8.3679055E+00
-2.3900000E+01	-3.4000000E+00	-1.1000000E+01	-1.0553632E+01	 2.0223185E+01	-4.8445769E+00
-2.3900000E+01	-3.4000000E+00	-3.0000000E+00	-2.5536320E+00	 4.2231854E+00	-1.3212482E+00
-2.3900000E+01	-3.4000000E+00	 5.0000000E+00	 5.4463680E+00	-1.1776815E+01	 2.2020804E+00
-2.3900000E+01	-3.4000000E+00	 1.3000000E+01	 1.3446368E+01	-2.7776815E+01	 5.7254091E+00
-2.3900000E+01	-3.4000000E+00	 2.1000000E+01	 2.1446368E+01	-4.3776815E+01	 9.2487377E+00
-2.3900000E+01	-3.4000000E+00	 2.9000000E+01	 2.9446368E+01	-5.9776815E+01	 1.2772066E+01
-2.3900000E+01	 3.8000000E+00	-3.5000000E+01	-3.5496472E+01	 6.8249741E+01	-1.5414563E+01
-2.3900000E+01	 3.8000000E+00	-2.7000000E+01	-2.7496472E+01	 5.2249741E+01	-1.1891234E+01
-2.3900000E+01	 3.8000000E+00	-1.9000000E+01	-1.9496472E+01	 3.6249741E+01	-8.3679055E+00
-2.3900000E+01	 3.8000000E+00	-1.1000000E+01	-1.1496472E+01	 2.0249741E+01	-4.8445769E+00
-2.3900000E+01	 3.8000000E+00	-3.0000000E+00	-3.4964720E+00	 4.2497410E+00	-1.3212482E+00
-2.3900000E+01	 3.8000000E+00	 5.0000000E+00	 4.5035280E+00	-1.1750259E+01	 2.2020804E+00
-2.3900000E+01	 3.8000000E+00	 1.3000000E+01	 1.2503528E+01	-2.7750259E+01	 5.7254091E+00
-2.3900000E+01	 3.8000000E+00	 2.1000000E+01	 2.0503528E+01	-4.3750259E+01	 9.2487377E+00
-2.3900000E+01	 3.8000000E+00	 2.9000000E+01	 2.8503528E+01	-5.9750259E+01	 1.2772066E+01
-2.3900000E+01	 1.1000000E+01	-3.5000000E+01	-3.6192869E+01	 6.9145105E+01	-1.5414563E+01
-2.3900000E+01	 1.1000000E+01	-2.7000000E+01	-2.8192869E+01	 5.3145105E+01	-1.1891234E+01
-2.3900000E+01	 1.1000000E+01	-1.9000000E+01	-2.0192869E+01	 3.7145105E+01	-8.3679055E+00
-2.3900000E+01	 1.1000000E+01	-1.1000000E+01	-1.2192869E+01	 2.1145105E+01	-4.8445769E+00
-2.3900000E+01	 1.1000000E+01	-3.0000000E+00	-4.1928690E+00	 5.1451051E+00	-1.3212482E+00
-2.3900000E+01	 1.1000000E+01	 5.0000000E+00	 3.8071310E+00	-1.0854895E+01	 2.2020804E+00
-2.3900000E+01	 1.1000000E+01	 1.3000000E+01	 1.1807131E+01	-2.6854895E+01	 5.7254091E+00
-2.3900000E+01	 1.1000000E+01	 2.1000000E+01	 1.9807131E+01	-4.2854895E+01	 9.2487377E+00
-2.3900000E+01	 1.1000000E+01	 2.9000000E+01	 2.7807131E+01	-5.8854895E+01	 1.2772066E+01
-2.3900000E+01	 1.8200000E+01	-3.5000000E+01	-3.6297139E+01	 7.0464829E+01	-1.5414563E+01
-2.3900000E+01	 1.8200000E+01	-2.7000000E+01	-2.8297139E+01	 5.4464829E+01	-1.1891234E+01
-2.3900000E+01	 1.8200000E+01	-1.9000000E+01	-2.0297139E+01	 3.8464829E+01	-8.3679055E+00
-2.3900000E+01	 1.8200000E+01	-1.1000000E+01	-1.2297139E+01	 2.2464829E+01	-4.8445769E+00
-2.3900000E+01	 1.8200000E+01	-3.0000000E+00	-4.2971395E+00	 6.4648292E+00	-1.3212482E+00
-2.3900000E+01	 1.8200000E+01	 5.0000000E+00	 3.7028605E+00	-9.5351708E+00	 2.2020804E+00
-2.3900000E+01	 1.8200000E+01	 1.3000000E+01	 1.1702861E+01	-2.5535171E+01	 5.7254091E+00
-2.3900000E+01	 1.8200000E+01	 2.1000000E+01	 1.9702861E+01	-4.1535171E+01	 9.2487377E+00
-2.3900000E+01	 1.8200000E+01	 2.9000000E+01	 2.7702861E+01	-5.7535171E+01	 1.2772066E+01
-1.7800000E+01	-2.5000000E+01	-3.5000000E+01	-3.5350153E+01	 7.1585054E+01	-2.6435305E+01
-1.7800000E+01	-2.5000000E+01	-2.7000000E+01	-2.7350153E+01	 5.5585054E+01	-2.0392950E+01
-1.7800000E+01	-2.5000000E+01	-1.9000000E+01	-1.9350153E+01	 3.9585054E+01	-1.4350594E+01
-1.7800000E+01	-2.5000000E+01	-1.1000000E+01	-1.1350153E+01	 2.3585054E+01	-8.3082388E+00
-1.7800000E+01	-2.5000000E+01	-3.0000000E+00	-3.3501533E+00	 7.5850542E+00	-2.2658833E+00
-1.7800000E+01	-2.5000000E+01	 5.0000000E+00	 4.6498467E+00	-8.4149458E+00	 3.7764722E+00
-1.7800000E+01	-2.5000000E+01	 1.3000000E+01	 1.2649847E+01	-2.4414946E+01	 9.8188276E+00
-1.7800000E+01	-2.5000000E+01	 2.1000000E+01	 2.0649847E+01	-4.0414946E+01	 1.5861183E+01
-1.7800000E+01	-2.5000000E+01	 2.9000000E+01	 2.8649847E+01	-5.6414946E+01	 2.1903539E+01
-1.7800000E+01	-1.7800000E+01	-3.5000000E+01	-3.5572322E+01	 7.0410895E+01	-2.6435305E+01
-1.7800000E+01	-1.7800000E+01	-2.7000000E+01	-2.7572322E+01	 5.4410895E+01	-2.0392950E+01
-1.7800000E+01	-1.7800000E+01	-1.9000000E+01	-1.9572322E+01	 3.8410895E+01	-1.4350594E+01
-1.7800000E+01	-1.7800000E+01	-1.1000000E+01	-1.1572322E+01	 2.2410895E+01	-8.3082388E+00
-1.7800000E+01	-1.7800000E+01	-3.0000000E+00	-3.5723220E+00	 6.4108947E+00	-2.2658833E+00
-1.7800000E+01	-1.7800000E+01	 5.0000000E+00	 4.4276780E+00	-9.5891053E+00	 3.7764722E+00
-1.7800000E+01	-1.7800000E+01	 1.3000000E+01	 1.2427678E+01	-2.5589105E+01	 9.8188276E+00
-1.7800000E+01	-1.7800000E+01	 2.1000000E+01	 2.0427678E+01	-4.1589105E+01	 1.5861183E+01
-1.7800000E+01	-1.7800000E+01	 2.9000000E+01	 2.8427678E+01	-5.7589105E+01	 2.1903539E+01
-1.7800000E+01	-1.0600000E+01	-3.5000000E+01	-3.5510397E+01	 6.9032772E+01	-2.6435305E+01
-1.7800000E+01	-1.0600000E+01	-2.7000000E+01	-2.7510397E+01	 5.3032772E+01	-2.0392950E+01
-1.7800000E+01	-1.0600000E+01	-1.9000000E+01	-1.9510397E+01	 3.7032772E+01	-1.4350594E+01
-1.7800000E+01	-1.0600000E+01	-1.1000000E+01	-1.1510397E+01	 2.1032772E+01	-8.3082388E+00
-1.7800000E+01	-1.0600000E+01	-3.0000000E+00	-3.5103966E+00	 5.0327717E+00	-2.2658833E+00
-1.7800000E+01	-1.0600000E+01	 5.0000000E+00	 4.4896034E+00	-1.0967228E+01	 3.7764722E+00
-1.7800000E+01	-1.0600000E+01	 1.3000000E+01	 1.2489603E+01	-2.6967228E+01	 9.8188276E+00
-1.7800000E+01	-1.0600000E+01	 2.1000000E+01	 2.0489603E+01	-4.2967228E+01	 1.5861183E+01
-1.7800000E+01	-1.0600000E+01	 2.9000000E+01	 2.8489603E+01	-5.8967228E+01	 2.1903539E+01
-1.7800000E+01	-3.4000000E+00	-3.5000000E+01	-3.5195116E+01	 6.8134770E+01	-2.6435305E+01
-1.7800000E+01	-3.4000000E+00	-2.7000000E+01	-2.7195116E+01	 5.2134770E+01	-2.0392950E+01
-1.7800000E+01	-3.4000000E+00	-1.9000000E+01	-1.9195116E+01	 3.6134770E+01	-1.4350594E+01
-1.7800000E+01	-3.4000000E+00	-1.1000000E+01	-1.1195116E+01	 2.0134770E+01	-8.3082388E+00
-1.7800000E+01	-3.4000000E+00	-3.0000000E+00	-3.1951162E+00	 4.1347698E+00	-2.2658833E+00
-1.7800000E+01	-3.4000000E+00	 5.0000000E+00	 4.8048838E+00	-1.1865230E+01	 3.7764722E+00
-1.7800000E+01	-3.4000000E+00	 1.3000000E+01	 1.2804884E+01	-2.7865230E+01	 9.8188276E+00
-1.7800000E+01	-3.4000000E+00	 2.1000000E+01	 2.0804884E+01	-4.3865230E+01	 1.5861183E+01
-1.7800000E+01	-3.4000000E+00	 2.9000000E+01	 2.8804884E+01	-5.9865230E+01	 2.1903539E+01
-1.7800000E+01	 3.8000000E+00	-3.5000000E+01	-3.4782982E+01	 6.8162647E+01	-2.6435305E+01
-1.7800000E+01	 3.8000000E+00	-2.7000000E+01	-2.6782982E+01	 5.2162647E+01	-2.0392950E+01
-1.7800000E+01	 3.8000000E+00	-1.9000000E+01	-1.8782982E+01	 3.6162647E+01	-1.4350594E+01
-1.7800000E+01	 3.8000000E+00	-1.1000000E+01	-1.0782982E+01	 2.0162647E+01	-8.3082388E+00
-1.7800000E+01	 3.8000000E+00	-3.0000000E+00	-2.7829823E+00	 4.1626468E+00	-2.2658833E+00
-1.7800000E+01	 3.8000000E+00	 5.0000000E+00	 5.2170177E+00	-1.1837353E+01	 3.7764722E+00
-1.7800000E+01	 3.8000000E+00	 1.3000000E+01	 1.3217018E+01	-2.7837353E+01	 9.8188276E+00
-1.7800000E+01	 3.8000000E+00	 2.1000000E+01	 2.1217018E+01	-4.3837353E+01	 1.5861183E+01
-1.7800000E+01	 3.8000000E+00	 2.9000000E+01	 2.9217018E+01	-5.9837353E+01	 2.1903539E+01
-1.7800000E+01	 1.1000000E+01	-3.5000000E+01	-3.4478574E+01	 6.9102565E+01	-2.6435305E+01
-1.7800000E+01	 1.1000000E+01	-2.7000000E+01	-2.6478574E+01	 5.3102565E+01	-2.0392950E+01
-1.7800000E+01	 1.1000000E+01	-1.9000000E+01	-1.8478574E+01	 3.7102565E+01	-1.4350594E+01
-1.7800000E+01	 1.1000000E+01	-1.1000000E+01	-1.0478574E+01	 2.1102565E+01	-8.3082388E+00
-1.7800000E+01	 1.1000000E+01	-3.0000000E+00	-2.4785736E+00	 5.1025648E+00	-2.2658833E+00
-1.7800000E+01	 1.1000000E+01	 5.0000000E+00	 5.5214264E+00	-1.0897435E+01	 3.7764722E+00
-1.7800000E+01	 1.1000000E+01	 1.3000000E+01	 1.3521426E+01	-2.6897435E+01	 9.8188276E+00
-1.7800000E+01	 1.1000000E+01	 2.1000000E+01	 2.1521426E+01	-4.2897435E+01	 1.5861183E+01
-1.7800000E+01	 1.1000000E+01	 2.9000000E+01	 2.9521426E+01	-5.8897435E+01	 2.1903539E+01
-1.7800000E+01	 1.8200000E+01	-3.5000000E+01	-3.4432995E+01	 7.0487959E+01	-2.6435305E+01
-1.7800000E+01	 1.8200000E+01	-2.7000000E+01	-2.6432995E+01	 5.4487959E+01	-2.0392950E+01
-1.7800000E+01	 1.8200000E+01	-1.9000000E+01	-1.8432995E+01	 3.8487959E+01	-1.4350594E+01
-1.7800000E+01	 1.8200000E+01	-1.1000000E+01	-1.0432995E+01	 2.2487959E+01	-8.3082388E+00
-1.7800000E+01	 1.8200000E+01	-3.0000000E+00	-2.4329949E+00	 6.4879594E+00	-2.2658833E+00
-1.7800000E+01	 1.8200000E+01	 5.0000000E+00	 5.5670051E+00	-9.5120406E+00	 3.7764722E+00
-1.7800000E+01	 1.8200000E+01	 1.3000000E+01	 1.3567005E+01	-2.5512041E+01	 9.8188276E+00
-1.7800000E+01	 1.8200000E+01	 2.1000000E+01	 2.1567005E+01	-4.1512041E+01	 1.5861183E+01
-1.7800000E+01	 1.8200000E+01	 2.9000000E+01	 2.9567005E+01	-5.7512041E+01	 2.1903539E+01
-1.1700000E+01	-2.5000000E+01	-3.5000000E+01	-3.6419608E+01	 7.1290150E+01	-3.5015908E+01
-1.1700000E+01	-2.5000000E+01	-2.7000000E+01	-2.8419608E+01	 5.5290150E+01	-2.7012272E+01
-1.1700000E+01	-2.5000000E+01	-1.9000000E+01	-2.0419608E+01	 3.9290150E+01	-1.9008636E+01
-1.1700000E+01	-2.5000000E+01	-1.1000000E+01	-1.2419608E+01	 2.3290150E+01	-1.1005000E+01
-1.1700000E+01	-2.5000000E+01	-3.0000000E+00	-4.4196083E+00	 7.2901497E+00	-3.0013635E+00
-1.1700000E+01	-2.5000000E+01	 5.0000000E+00	 3.5803917E+00	-8.7098503E+00	 5.0022725E+00
-1.1700000E+01	-2.5000000E+01	 1.3000000E+01	 1.1580392E+01	-2.4709850E+01	 1.3005909E+01
-1.1700000E+01	-2.5000000E+01	 2.1000000E+01	 1.9580392E+01	-4.0709850E+01	 2.1009545E+01
-1.1700000E+01	-2.5000000E+01	 2.9000000E+01	 2.7580392E+01	-5.6709850E+01	 2.9013181E+01
-1.1700000E+01	-1.7800000E+01	-3.5000000E+01	-3.7320335E+01	 7.0334446E+01	-3.5015908E+01
-1.1700000E+01	-1.7800000E+01	-2.7000000E+01	-2.9320335E+01	 5.4334446E+01	-2.7012272E+01
-1.1700000E+01	-1.7800000E+01	-1.9000000E+01	-2.1320335E+01	 3.8334446E+01	-1.9008636E+01
-1.1700000E+01	-1.7800000E+01	-1.1000000E+01	-1.3320335E+01	 2.2334446E+01	-1.1005000E+01
