# units: cm, T
zmin> 0.0
zmax> 60.0
nz> 120
loopOrder> xyzt
! Z	            Fx	            Fy	            Fz
0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00
5.04201681E-01	0.00000000E+00	1.55763349E-01	0.00000000E+00
1.00840336E+00	0.00000000E+00	2.96024319E-01	0.00000000E+00
1.51260504E+00	0.00000000E+00	4.06823410E-01	0.00000000E+00
2.01680672E+00	0.00000000E+00	4.77133320E-01	0.00000000E+00
2.52100840E+00	0.00000000E+00	4.99956441E-01	0.00000000E+00
3.02521008E+00	0.00000000E+00	4.73021297E-01	0.00000000E+00
3.52941176E+00	0.00000000E+00	3.99008614E-01	0.00000000E+00
4.03361345E+00	0.00000000E+00	2.85284518E-01	0.00000000E+00
4.53781513E+00	0.00000000E+00	1.43167425E-01	0.00000000E+00
5.04201681E+00	0.00000000E+00	-1.31984359E-02	0.00000000E+00
5.54621849E+00	0.00000000E+00	-1.68250719E-01	0.00000000E+00
6.05042017E+00	0.00000000E+00	-3.06557816E-01	0.00000000E+00
6.55462185E+00	0.00000000E+00	-4.14354685E-01	0.00000000E+00
7.05882353E+00	0.00000000E+00	-4.80912822E-01	0.00000000E+00
7.56302521E+00	0.00000000E+00	-4.99608013E-01	0.00000000E+00
8.06722689E+00	0.00000000E+00	-4.68579617E-01	0.00000000E+00
8.57142857E+00	0.00000000E+00	-3.90915741E-01	0.00000000E+00
9.07563025E+00	0.00000000E+00	-2.74345898E-01	0.00000000E+00
9.57983193E+00	0.00000000E+00	-1.30471724E-01	0.00000000E+00
1.00840336E+01	0.00000000E+00	2.63876736E-02	0.00000000E+00
1.05882353E+01	0.00000000E+00	1.80620833E-01	0.00000000E+00
1.10924370E+01	0.00000000E+00	3.16877668E-01	0.00000000E+00
1.15966387E+01	0.00000000E+00	4.21597190E-01	0.00000000E+00
1.21008403E+01	0.00000000E+00	4.84357167E-01	0.00000000E+00
1.26050420E+01	0.00000000E+00	4.98911400E-01	0.00000000E+00
1.31092437E+01	0.00000000E+00	4.63811377E-01	0.00000000E+00
1.36134454E+01	0.00000000E+00	3.82550433E-01	0.00000000E+00
1.41176471E+01	0.00000000E+00	2.63216081E-01	0.00000000E+00
1.46218487E+01	0.00000000E+00	1.17685096E-01	0.00000000E+00
1.51260504E+01	0.00000000E+00	-3.95585212E-02	0.00000000E+00
1.56302521E+01	0.00000000E+00	-1.92865069E-01	0.00000000E+00
1.61344538E+01	0.00000000E+00	-3.26976683E-01	0.00000000E+00
1.66386555E+01	0.00000000E+00	-4.28545876E-01	0.00000000E+00
1.71428571E+01	0.00000000E+00	-4.87463956E-01	0.00000000E+00
1.76470588E+01	0.00000000E+00	-4.97867088E-01	0.00000000E+00
1.81512605E+01	0.00000000E+00	-4.58719899E-01	0.00000000E+00
1.86554622E+01	0.00000000E+00	-3.73918520E-01	0.00000000E+00
1.91596639E+01	0.00000000E+00	-2.51902825E-01	0.00000000E+00
1.96638655E+01	0.00000000E+00	-1.04816452E-01	0.00000000E+00
2.01680672E+01	0.00000000E+00	5.27018000E-02	0.00000000E+00
2.06722689E+01	0.00000000E+00	2.04974895E-01	0.00000000E+00
2.11764706E+01	0.00000000E+00	3.36847822E-01	0.00000000E+00
2.16806723E+01	0.00000000E+00	4.35195902E-01	0.00000000E+00
2.21848739E+01	0.00000000E+00	4.90231024E-01	0.00000000E+00
2.26890756E+01	0.00000000E+00	4.96475804E-01	0.00000000E+00
2.31932773E+01	0.00000000E+00	4.53308731E-01	0.00000000E+00
2.36974790E+01	0.00000000E+00	3.65026016E-01	0.00000000E+00
2.42016807E+01	0.00000000E+00	2.40414014E-01	0.00000000E+00
2.47058824E+01	0.00000000E+00	9.18747589E-02	0.00000000E+00
2.52100840E+01	0.00000000E+00	-6.58083499E-02	0.00000000E+00
2.57142857E+01	0.00000000E+00	-2.16941870E-01	0.00000000E+00
2.62184874E+01	0.00000000E+00	-3.46484206E-01	0.00000000E+00
2.67226891E+01	0.00000000E+00	-4.41542633E-01	0.00000000E+00
2.72268908E+01	0.00000000E+00	-4.92656441E-01	0.00000000E+00
2.77310924E+01	0.00000000E+00	-4.94738518E-01	0.00000000E+00
2.82352941E+01	0.00000000E+00	-4.47581646E-01	0.00000000E+00
2.87394958E+01	0.00000000E+00	-3.55879120E-01	0.00000000E+00
2.92436975E+01	0.00000000E+00	-2.28757654E-01	0.00000000E+00
2.97478992E+01	0.00000000E+00	-7.88690370E-02	0.00000000E+00
3.02521008E+01	0.00000000E+00	7.88690370E-02	0.00000000E+00
3.07563025E+01	0.00000000E+00	2.28757654E-01	0.00000000E+00
3.12605042E+01	0.00000000E+00	3.55879120E-01	0.00000000E+00
3.17647059E+01	0.00000000E+00	4.47581646E-01	0.00000000E+00
3.22689076E+01	0.00000000E+00	4.94738518E-01	0.00000000E+00
3.27731092E+01	0.00000000E+00	4.92656441E-01	0.00000000E+00
3.32773109E+01	0.00000000E+00	4.41542633E-01	0.00000000E+00
3.37815126E+01	0.00000000E+00	3.46484206E-01	0.00000000E+00
3.42857143E+01	0.00000000E+00	2.16941870E-01	0.00000000E+00
3.47899160E+01	0.00000000E+00	6.58083499E-02	0.00000000E+00
3.52941176E+01	0.00000000E+00	-9.18747589E-02	0.00000000E+00
3.57983193E+01	0.00000000E+00	-2.40414014E-01	0.00000000E+00
3.63025210E+01	0.00000000E+00	-3.65026016E-01	0.00000000E+00
3.68067227E+01	0.00000000E+00	-4.53308731E-01	0.00000000E+00
3.73109244E+01	0.00000000E+00	-4.96475804E-01	0.00000000E+00
3.78151261E+01	0.00000000E+00	-4.90231024E-01	0.00000000E+00
3.83193277E+01	0.00000000E+00	-4.35195902E-01	0.00000000E+00
3.88235294E+01	0.00000000E+00	-3.36847822E-01	0.00000000E+00
3.93277311E+01	0.00000000E+00	-2.04974895E-01	0.00000000E+00
3.98319328E+01	0.00000000E+00	-5.27018000E-02	0.00000000E+00
4.03361345E+01	0.00000000E+00	1.04816452E-01	0.00000000E+00
4.08403361E+01	0.00000000E+00	2.51902825E-01	0.00000000E+00
4.13445378E+01	0.00000000E+00	3.73918520E-01	0.00000000E+00
4.18487395E+01	0.00000000E+00	4.58719899E-01	0.00000000E+00
4.23529412E+01	0.00000000E+00	4.97867088E-01	0.00000000E+00
4.28571429E+01	0.00000000E+00	4.87463956E-01	0.00000000E+00
4.33613445E+01	0.00000000E+00	4.28545876E-01	0.00000000E+00
4.38655462E+01	0.00000000E+00	3.26976683E-01	0.00000000E+00
4.43697479E+01	0.00000000E+00	1.92865069E-01	0.00000000E+00
4.48739496E+01	0.00000000E+00	3.95585212E-02	0.00000000E+00
4.53781513E+01	0.00000000E+00	-1.17685096E-01	0.00000000E+00
4.58823529E+01	0.00000000E+00	-2.63216081E-01	0.00000000E+00
4.63865546E+01	0.00000000E+00	-3.82550433E-01	0.00000000E+00
4.68907563E+01	0.00000000E+00	-4.63811377E-01	0.00000000E+00
4.73949580E+01	0.00000000E+00	-4.98911400E-01	0.00000000E+00
4.78991597E+01	0.00000000E+00	-4.84357167E-01	0.00000000E+00
4.84033613E+01	0.00000000E+00	-4.21597190E-01	0.00000000E+00
4.89075630E+01	0.00000000E+00	-3.16877668E-01	0.00000000E+00
4.94117647E+01	0.00000000E+00	-1.80620833E-01	0.00000000E+00
4.99159664E+01	0.00000000E+00	-2.63876736E-02	0.00000000E+00
5.04201681E+01	0.00000000E+00	1.30471724E-01	0.00000000E+00
5.09243697E+01	0.00000000E+00	2.74345898E-01	0.00000000E+00
5.14285714E+01	0.00000000E+00	3.90915741E-01	0.00000000E+00
5.19327731E+01	0.00000000E+00	4.68579617E-01	0.00000000E+00
5.24369748E+01	0.00000000E+00	4.99608013E-01	0.00000000E+00
5.29411765E+01	0.00000000E+00	4.80912822E-01	0.00000000E+00
5.34453782E+01	0.00000000E+00	4.14354685E-01	0.00000000E+00
5.39495798E+01	0.00000000E+00	3.06557816E-01	0.00000000E+00
5.44537815E+01	0.00000000E+00	1.68250719E-01	0.00000000E+00
5.49579832E+01	0.00000000E+00	1.31984359E-02	0.00000000E+00
5.54621849E+01	0.00000000E+00	-1.43167425E-01	0.00000000E+00
5.59663866E+01	0.00000000E+00	-2.85284518E-01	0.00000000E+00
5.64705882E+01	0.00000000E+00	-3.99008614E-01	0.00000000E+00
5.69747899E+01	0.00000000E+00	-4.73021297E-01	0.00000000E+00
5.74789916E+01	0.00000000E+00	-4.99956441E-01	0.00000000E+00
5.79831933E+01	0.00000000E+00	-4.77133320E-01	0.00000000E+00
5.84873950E+01	0.00000000E+00	-4.06823410E-01	0.00000000E+00
5.89915966E+01	0.00000000E+00	-2.96024319E-01	0.00000000E+00
5.94957983E+01	0.00000000E+00	-1.55763349E-01	0.00000000E+00
6.00000000E+01	0.00000000E+00	-7.34788079E-16	0.00000000E+00
