# units: cm, T
xmin> -30.0
xmax> 30.0
nx> 7
ymin> -25.0
ymax> 25.0
ny> 6
loopOrder> xyzt
! X	             Y	            Fx	            Fy	            Fz
-3.00000000E+01	-2.50000000E+01	1.76523839E+00	1.08228603E+00	2.12211605E-01
-2.00000000E+01	-2.50000000E+01	6.99004029E-02	1.60160402E+00	1.62090692E+00
-1.00000000E+01	-2.50000000E+01	-1.66783823E+00	1.14941050E+00	2.63274769E+00
0.00000000E+00	-2.50000000E+01	-2.39388858E+00	-0.00000000E+00	3.00000000E+00
1.00000000E+01	-2.50000000E+01	-1.66783823E+00	-1.14941050E+00	2.63274769E+00
2.00000000E+01	-2.50000000E+01	6.99004029E-02	-1.60160402E+00	1.62090692E+00
3.00000000E+01	-2.50000000E+01	1.76523839E+00	-1.08228603E+00	2.12211605E-01
-3.00000000E+01	-1.50000000E+01	2.94218614E+00	-9.55607504E-02	2.12211605E-01
-2.00000000E+01	-1.50000000E+01	1.16505508E-01	-1.41414079E-01	1.62090692E+00
-1.00000000E+01	-1.50000000E+01	-2.77984580E+00	-1.01487525E-01	2.63274769E+00
0.00000000E+00	-1.50000000E+01	-3.98997995E+00	0.00000000E+00	3.00000000E+00
1.00000000E+01	-1.50000000E+01	-2.77984580E+00	1.01487525E-01	2.63274769E+00
2.00000000E+01	-1.50000000E+01	1.16505508E-01	1.41414079E-01	1.62090692E+00
3.00000000E+01	-1.50000000E+01	2.94218614E+00	9.55607504E-02	2.12211605E-01
-3.00000000E+01	-5.00000000E+00	1.41410152E+00	-1.18554942E+00	2.12211605E-01
-2.00000000E+01	-5.00000000E+00	5.59959868E-02	-1.75441673E+00	1.62090692E+00
-1.00000000E+01	-5.00000000E+00	-1.33607596E+00	-1.25907839E+00	2.63274769E+00
0.00000000E+00	-5.00000000E+00	-1.91770215E+00	0.00000000E+00	3.00000000E+00
1.00000000E+01	-5.00000000E+00	-1.33607596E+00	1.25907839E+00	2.63274769E+00
2.00000000E+01	-5.00000000E+00	5.59959868E-02	1.75441673E+00	1.62090692E+00
3.00000000E+01	-5.00000000E+00	1.41410152E+00	1.18554942E+00	2.12211605E-01
-3.00000000E+01	5.00000000E+00	-1.41410152E+00	-1.18554942E+00	2.12211605E-01
-2.00000000E+01	5.00000000E+00	-5.59959868E-02	-1.75441673E+00	1.62090692E+00
-1.00000000E+01	5.00000000E+00	1.33607596E+00	-1.25907839E+00	2.63274769E+00
0.00000000E+00	5.00000000E+00	1.91770215E+00	0.00000000E+00	3.00000000E+00
1.00000000E+01	5.00000000E+00	1.33607596E+00	1.25907839E+00	2.63274769E+00
2.00000000E+01	5.00000000E+00	-5.59959868E-02	1.75441673E+00	1.62090692E+00
3.00000000E+01	5.00000000E+00	-1.41410152E+00	1.18554942E+00	2.12211605E-01
-3.00000000E+01	1.50000000E+01	-2.94218614E+00	-9.55607504E-02	2.12211605E-01
-2.00000000E+01	1.50000000E+01	-1.16505508E-01	-1.41414079E-01	1.62090692E+00
-1.00000000E+01	1.50000000E+01	2.77984580E+00	-1.01487525E-01	2.63274769E+00
0.00000000E+00	1.50000000E+01	3.98997995E+00	0.00000000E+00	3.00000000E+00
1.00000000E+01	1.50000000E+01	2.77984580E+00	1.01487525E-01	2.63274769E+00
2.00000000E+01	1.50000000E+01	-1.16505508E-01	1.41414079E-01	1.62090692E+00
3.00000000E+01	1.50000000E+01	-2.94218614E+00	9.55607504E-02	2.12211605E-01
-3.00000000E+01	2.50000000E+01	-1.76523839E+00	1.08228603E+00	2.12211605E-01
-2.00000000E+01	2.50000000E+01	-6.99004029E-02	1.60160402E+00	1.62090692E+00
-1.00000000E+01	2.50000000E+01	1.66783823E+00	1.14941050E+00	2.63274769E+00
0.00000000E+00	2.50000000E+01	2.39388858E+00	-0.00000000E+00	3.00000000E+00
1.00000000E+01	2.50000000E+01	1.66783823E+00	-1.14941050E+00	2.63274769E+00
2.00000000E+01	2.50000000E+01	-6.99004029E-02	-1.60160402E+00	1.62090692E+00
3.00000000E+01	2.50000000E+01	-1.76523839E+00	-1.08228603E+00	2.12211605E-01
