zmax> 29.0
ymax> 18.2
zmin> -35.0
nx> 9
ny> 7
nz> 10
xmax> 24.9
xmin> -30.0
ymin> -25.0
! X	             Y	             Z	            Fx	            Fy	            Fz
-3.00000000E+01	-2.50000000E+01	-3.50000000E+01	-3.32347616E+01	7.10822860E+01	-2.97096247E+00
-2.39000000E+01	-2.50000000E+01	-3.50000000E+01	-3.41989531E+01	7.15099195E+01	-1.54145628E+01
-1.78000000E+01	-2.50000000E+01	-3.50000000E+01	-3.53501533E+01	7.15850542E+01	-2.64353051E+01
-1.17000000E+01	-2.50000000E+01	-3.50000000E+01	-3.64196083E+01	7.12901497E+01	-3.50159076E+01
-5.60000000E+00	-2.50000000E+01	-3.50000000E+01	-3.71576482E+01	7.06940528E+01	-4.03643284E+01
5.00000000E-01	-2.50000000E+01	-3.50000000E+01	-3.73919737E+01	6.99359256E+01	-4.19868757E+01
6.60000000E+00	-2.50000000E+01	-3.50000000E+01	-3.70678802E+01	6.91927569E+01	-3.97337784E+01
1.27000000E+01	-2.50000000E+01	-3.50000000E+01	-3.62610291E+01	6.86380434E+01	-3.38130113E+01
1.88000000E+01	-2.50000000E+01	-3.50000000E+01	-3.51597841E+01	6.84012859E+01	-2.47710971E+01
2.49000000E+01	-2.50000000E+01	-3.50000000E+01	-3.40212366E+01	6.85377567E+01	-1.34426596E+01
-3.00000000E+01	-1.78000000E+01	-3.50000000E+01	-3.21147359E+01	7.02805617E+01	-2.97096247E+00
-2.39000000E+01	-1.78000000E+01	-3.50000000E+01	-3.36906971E+01	7.03914175E+01	-1.54145628E+01
-1.78000000E+01	-1.78000000E+01	-3.50000000E+01	-3.55723220E+01	7.04108947E+01	-2.64353051E+01
-1.17000000E+01	-1.78000000E+01	-3.50000000E+01	-3.73203353E+01	7.03344464E+01	-3.50159076E+01
-5.60000000E+00	-1.78000000E+01	-3.50000000E+01	-3.85266540E+01	7.01799198E+01	-4.03643284E+01
5.00000000E-01	-1.78000000E+01	-3.50000000E+01	-3.89096566E+01	6.99833900E+01	-4.19868757E+01
6.60000000E+00	-1.78000000E+01	-3.50000000E+01	-3.83799291E+01	6.97907378E+01	-3.97337784E+01
1.27000000E+01	-1.78000000E+01	-3.50000000E+01	-3.70611392E+01	6.96469391E+01	-3.38130113E+01
1.88000000E+01	-1.78000000E+01	-3.50000000E+01	-3.52611655E+01	6.95855643E+01	-2.47710971E+01
2.49000000E+01	-1.78000000E+01	-3.50000000E+01	-3.34002212E+01	6.96209417E+01	-1.34426596E+01
-3.00000000E+01	-1.06000000E+01	-3.50000000E+01	-3.24269222E+01	6.93395698E+01	-2.97096247E+00
-2.39000000E+01	-1.06000000E+01	-3.50000000E+01	-3.38323640E+01	6.90786203E+01	-1.54145628E+01
-1.78000000E+01	-1.06000000E+01	-3.50000000E+01	-3.55103966E+01	6.90327717E+01	-2.64353051E+01
-1.17000000E+01	-1.06000000E+01	-3.50000000E+01	-3.70692744E+01	6.92127277E+01	-3.50159076E+01
-5.60000000E+00	-1.06000000E+01	-3.50000000E+01	-3.81450691E+01	6.95764767E+01	-4.03643284E+01
5.00000000E-01	-1.06000000E+01	-3.50000000E+01	-3.84866308E+01	7.00390993E+01	-4.19868757E+01
6.60000000E+00	-1.06000000E+01	-3.50000000E+01	-3.80142199E+01	7.04925941E+01	-3.97337784E+01
1.27000000E+01	-1.06000000E+01	-3.50000000E+01	-3.68381234E+01	7.08310901E+01	-3.38130113E+01
1.88000000E+01	-1.06000000E+01	-3.50000000E+01	-3.52329073E+01	7.09755637E+01	-2.47710971E+01
2.49000000E+01	-1.06000000E+01	-3.50000000E+01	-3.35733177E+01	7.08922868E+01	-1.34426596E+01
-3.00000000E+01	-3.40000000E+00	-3.50000000E+01	-3.40163549E+01	6.87264079E+01	-2.97096247E+00
-2.39000000E+01	-3.40000000E+00	-3.50000000E+01	-3.45536320E+01	6.82231854E+01	-1.54145628E+01
-1.78000000E+01	-3.40000000E+00	-3.50000000E+01	-3.51951162E+01	6.81347698E+01	-2.64353051E+01
-1.17000000E+01	-3.40000000E+00	-3.50000000E+01	-3.57910494E+01	6.84818020E+01	-3.50159076E+01
-5.60000000E+00	-3.40000000E+00	-3.50000000E+01	-3.62023080E+01	6.91832657E+01	-4.03643284E+01
5.00000000E-01	-3.40000000E+00	-3.50000000E+01	-3.63328814E+01	7.00754003E+01	-4.19868757E+01
6.60000000E+00	-3.40000000E+00	-3.50000000E+01	-3.61522865E+01	7.09499323E+01	-3.97337784E+01
1.27000000E+01	-3.40000000E+00	-3.50000000E+01	-3.57026842E+01	7.16026975E+01	-3.38130113E+01
1.88000000E+01	-3.40000000E+00	-3.50000000E+01	-3.50890366E+01	7.18813046E+01	-2.47710971E+01
2.49000000E+01	-3.40000000E+00	-3.50000000E+01	-3.44546029E+01	7.17207110E+01	-1.34426596E+01
-3.00000000E+01	3.80000000E+00	-3.50000000E+01	-3.60940577E+01	6.87454425E+01	-2.97096247E+00
-2.39000000E+01	3.80000000E+00	-3.50000000E+01	-3.54964720E+01	6.82497410E+01	-1.54145628E+01
-1.78000000E+01	3.80000000E+00	-3.50000000E+01	-3.47829823E+01	6.81626468E+01	-2.64353051E+01
-1.17000000E+01	3.80000000E+00	-3.50000000E+01	-3.41201566E+01	6.85044924E+01	-3.50159076E+01
-5.60000000E+00	3.80000000E+00	-3.50000000E+01	-3.36627349E+01	6.91954722E+01	-4.03643284E+01
5.00000000E-01	3.80000000E+00	-3.50000000E+01	-3.35175049E+01	7.00742734E+01	-4.19868757E+01
6.60000000E+00	3.80000000E+00	-3.50000000E+01	-3.37183712E+01	7.09357350E+01	-3.97337784E+01
1.27000000E+01	3.80000000E+00	-3.50000000E+01	-3.42184406E+01	7.15787443E+01	-3.38130113E+01
1.88000000E+01	3.80000000E+00	-3.50000000E+01	-3.49009692E+01	7.18531873E+01	-2.47710971E+01
2.49000000E+01	3.80000000E+00	-3.50000000E+01	-3.56066170E+01	7.16949940E+01	-1.34426596E+01
-3.00000000E+01	1.10000000E+01	-3.50000000E+01	-3.76286828E+01	6.93872250E+01	-2.97096247E+00
-2.39000000E+01	1.10000000E+01	-3.50000000E+01	-3.61928690E+01	6.91451051E+01	-1.54145628E+01
-1.78000000E+01	1.10000000E+01	-3.50000000E+01	-3.44785736E+01	6.91025648E+01	-2.64353051E+01
-1.17000000E+01	1.10000000E+01	-3.50000000E+01	-3.28860079E+01	6.92695356E+01	-3.50159076E+01
-5.60000000E+00	1.10000000E+01	-3.50000000E+01	-3.17869649E+01	6.96070372E+01	-4.03643284E+01
5.00000000E-01	1.10000000E+01	-3.50000000E+01	-3.14380220E+01	7.00362780E+01	-4.19868757E+01
6.60000000E+00	1.10000000E+01	-3.50000000E+01	-3.19206418E+01	7.04570495E+01	-3.97337784E+01
1.27000000E+01	1.10000000E+01	-3.50000000E+01	-3.31221541E+01	7.07711204E+01	-3.38130113E+01
1.88000000E+01	1.10000000E+01	-3.50000000E+01	-3.47620595E+01	7.09051692E+01	-2.47710971E+01
2.49000000E+01	1.10000000E+01	-3.50000000E+01	-3.64575134E+01	7.08279013E+01	-1.34426596E+01
-3.00000000E+01	1.82000000E+01	-3.50000000E+01	-3.78584599E+01	7.03331821E+01	-2.97096247E+00
-2.39000000E+01	1.82000000E+01	-3.50000000E+01	-3.62971395E+01	7.04648292E+01	-1.54145628E+01
-1.78000000E+01	1.82000000E+01	-3.50000000E+01	-3.44329949E+01	7.04879594E+01	-2.64353051E+01
-1.17000000E+01	1.82000000E+01	-3.50000000E+01	-3.27012207E+01	7.03971730E+01	-3.50159076E+01
-5.60000000E+00	1.82000000E+01	-3.50000000E+01	-3.15061087E+01	7.02136644E+01	-4.03643284E+01
5.00000000E-01	1.82000000E+01	-3.50000000E+01	-3.11266642E+01	6.99802747E+01	-4.19868757E+01
6.60000000E+00	1.82000000E+01	-3.50000000E+01	-3.16514705E+01	6.97514900E+01	-3.97337784E+01
1.27000000E+01	1.82000000E+01	-3.50000000E+01	-3.29580088E+01	6.95807213E+01	-3.38130113E+01
1.88000000E+01	1.82000000E+01	-3.50000000E+01	-3.47412608E+01	6.95078354E+01	-2.47710971E+01
2.49000000E+01	1.82000000E+01	-3.50000000E+01	-3.65849168E+01	6.95498480E+01	-1.34426596E+01
-3.00000000E+01	-2.50000000E+01	-2.70000000E+01	-2.52347616E+01	5.50822860E+01	-2.29188533E+00
-2.39000000E+01	-2.50000000E+01	-2.70000000E+01	-2.61989531E+01	5.55099195E+01	-1.18912342E+01
-1.78000000E+01	-2.50000000E+01	-2.70000000E+01	-2.73501533E+01	5.55850542E+01	-2.03929497E+01
-1.17000000E+01	-2.50000000E+01	-2.70000000E+01	-2.84196083E+01	5.52901497E+01	-2.70122716E+01
-5.60000000E+00	-2.50000000E+01	-2.70000000E+01	-2.91576482E+01	5.46940528E+01	-3.11381962E+01
5.00000000E-01	-2.50000000E+01	-2.70000000E+01	-2.93919737E+01	5.39359256E+01	-3.23898755E+01
6.60000000E+00	-2.50000000E+01	-2.70000000E+01	-2.90678802E+01	5.31927569E+01	-3.06517719E+01
1.27000000E+01	-2.50000000E+01	-2.70000000E+01	-2.82610291E+01	5.26380434E+01	-2.60843230E+01
1.88000000E+01	-2.50000000E+01	-2.70000000E+01	-2.71597841E+01	5.24012859E+01	-1.91091320E+01
2.49000000E+01	-2.50000000E+01	-2.70000000E+01	-2.60212366E+01	5.25377567E+01	-1.03700517E+01
-3.00000000E+01	-1.78000000E+01	-2.70000000E+01	-2.41147359E+01	5.42805617E+01	-2.29188533E+00
-2.39000000E+01	-1.78000000E+01	-2.70000000E+01	-2.56906971E+01	5.43914175E+01	-1.18912342E+01
-1.78000000E+01	-1.78000000E+01	-2.70000000E+01	-2.75723220E+01	5.44108947E+01	-2.03929497E+01
-1.17000000E+01	-1.78000000E+01	-2.70000000E+01	-2.93203353E+01	5.43344464E+01	-2.70122716E+01
-5.60000000E+00	-1.78000000E+01	-2.70000000E+01	-3.05266540E+01	5.41799198E+01	-3.11381962E+01
5.00000000E-01	-1.78000000E+01	-2.70000000E+01	-3.09096566E+01	5.39833900E+01	-3.23898755E+01
6.60000000E+00	-1.78000000E+01	-2.70000000E+01	-3.03799291E+01	5.37907378E+01	-3.06517719E+01
1.27000000E+01	-1.78000000E+01	-2.70000000E+01	-2.90611392E+01	5.36469391E+01	-2.60843230E+01
1.88000000E+01	-1.78000000E+01	-2.70000000E+01	-2.72611655E+01	5.35855643E+01	-1.91091320E+01
2.49000000E+01	-1.78000000E+01	-2.70000000E+01	-2.54002212E+01	5.36209417E+01	-1.03700517E+01
-3.00000000E+01	-1.06000000E+01	-2.70000000E+01	-2.44269222E+01	5.33395698E+01	-2.29188533E+00
-2.39000000E+01	-1.06000000E+01	-2.70000000E+01	-2.58323640E+01	5.30786203E+01	-1.18912342E+01
-1.78000000E+01	-1.06000000E+01	-2.70000000E+01	-2.75103966E+01	5.30327717E+01	-2.03929497E+01
-1.17000000E+01	-1.06000000E+01	-2.70000000E+01	-2.90692744E+01	5.32127277E+01	-2.70122716E+01
-5.60000000E+00	-1.06000000E+01	-2.70000000E+01	-3.01450691E+01	5.35764767E+01	-3.11381962E+01
5.00000000E-01	-1.06000000E+01	-2.70000000E+01	-3.04866308E+01	5.40390993E+01	-3.23898755E+01
6.60000000E+00	-1.06000000E+01	-2.70000000E+01	-3.00142199E+01	5.44925941E+01	-3.06517719E+01
1.27000000E+01	-1.06000000E+01	-2.70000000E+01	-2.88381234E+01	5.48310901E+01	-2.60843230E+01
1.88000000E+01	-1.06000000E+01	-2.70000000E+01	-2.72329073E+01	5.49755637E+01	-1.91091320E+01
2.49000000E+01	-1.06000000E+01	-2.70000000E+01	-2.55733177E+01	5.48922868E+01	-1.03700517E+01
-3.00000000E+01	-3.40000000E+00	-2.70000000E+01	-2.60163549E+01	5.27264079E+01	-2.29188533E+00
-2.39000000E+01	-3.40000000E+00	-2.70000000E+01	-2.65536320E+01	5.22231854E+01	-1.18912342E+01
-1.78000000E+01	-3.40000000E+00	-2.70000000E+01	-2.71951162E+01	5.21347698E+01	-2.03929497E+01
-1.17000000E+01	-3.40000000E+00	-2.70000000E+01	-2.77910494E+01	5.24818020E+01	-2.70122716E+01
-5.60000000E+00	-3.40000000E+00	-2.70000000E+01	-2.82023080E+01	5.31832657E+01	-3.11381962E+01
5.00000000E-01	-3.40000000E+00	-2.70000000E+01	-2.83328814E+01	5.40754003E+01	-3.23898755E+01
6.60000000E+00	-3.40000000E+00	-2.70000000E+01	-2.81522865E+01	5.49499323E+01	-3.06517719E+01
1.27000000E+01	-3.40000000E+00	-2.70000000E+01	-2.77026842E+01	5.56026975E+01	-2.60843230E+01
1.88000000E+01	-3.40000000E+00	-2.70000000E+01	-2.70890366E+01	5.58813046E+01	-1.91091320E+01
2.49000000E+01	-3.40000000E+00	-2.70000000E+01	-2.64546029E+01	5.57207110E+01	-1.03700517E+01
-3.00000000E+01	3.80000000E+00	-2.70000000E+01	-2.80940577E+01	5.27454425E+01	-2.29188533E+00
-2.39000000E+01	3.80000000E+00	-2.70000000E+01	-2.74964720E+01	5.22497410E+01	-1.18912342E+01
-1.78000000E+01	3.80000000E+00	-2.70000000E+01	-2.67829823E+01	5.21626468E+01	-2.03929497E+01
-1.17000000E+01	3.80000000E+00	-2.70000000E+01	-2.61201566E+01	5.25044924E+01	-2.70122716E+01
-5.60000000E+00	3.80000000E+00	-2.70000000E+01	-2.56627349E+01	5.31954722E+01	-3.11381962E+01
5.00000000E-01	3.80000000E+00	-2.70000000E+01	-2.55175049E+01	5.40742734E+01	-3.23898755E+01
6.60000000E+00	3.80000000E+00	-2.70000000E+01	-2.57183712E+01	5.49357350E+01	-3.06517719E+01
1.27000000E+01	3.80000000E+00	-2.70000000E+01	-2.62184406E+01	5.55787443E+01	-2.60843230E+01
1.88000000E+01	3.80000000E+00	-2.70000000E+01	-2.69009692E+01	5.58531873E+01	-1.91091320E+01
2.49000000E+01	3.80000000E+00	-2.70000000E+01	-2.76066170E+01	5.56949940E+01	-1.03700517E+01
-3.00000000E+01	1.10000000E+01	-2.70000000E+01	-2.96286828E+01	5.33872250E+01	-2.29188533E+00
-2.39000000E+01	1.10000000E+01	-2.70000000E+01	-2.81928690E+01	5.31451051E+01	-1.18912342E+01
-1.78000000E+01	1.10000000E+01	-2.70000000E+01	-2.64785736E+01	5.31025648E+01	-2.03929497E+01
-1.17000000E+01	1.10000000E+01	-2.70000000E+01	-2.48860079E+01	5.32695356E+01	-2.70122716E+01
-5.60000000E+00	1.10000000E+01	-2.70000000E+01	-2.37869649E+01	5.36070372E+01	-3.11381962E+01
5.00000000E-01	1.10000000E+01	-2.70000000E+01	-2.34380220E+01	5.40362780E+01	-3.23898755E+01
6.60000000E+00	1.10000000E+01	-2.70000000E+01	-2.39206418E+01	5.44570495E+01	-3.06517719E+01
1.27000000E+01	1.10000000E+01	-2.70000000E+01	-2.51221541E+01	5.47711204E+01	-2.60843230E+01
1.88000000E+01	1.10000000E+01	-2.70000000E+01	-2.67620595E+01	5.49051692E+01	-1.91091320E+01
2.49000000E+01	1.10000000E+01	-2.70000000E+01	-2.84575134E+01	5.48279013E+01	-1.03700517E+01
-3.00000000E+01	1.82000000E+01	-2.70000000E+01	-2.98584599E+01	5.43331821E+01	-2.29188533E+00
-2.39000000E+01	1.82000000E+01	-2.70000000E+01	-2.82971395E+01	5.44648292E+01	-1.18912342E+01
-1.78000000E+01	1.82000000E+01	-2.70000000E+01	-2.64329949E+01	5.44879594E+01	-2.03929497E+01
-1.17000000E+01	1.82000000E+01	-2.70000000E+01	-2.47012207E+01	5.43971730E+01	-2.70122716E+01
-5.60000000E+00	1.82000000E+01	-2.70000000E+01	-2.35061087E+01	5.42136644E+01	-3.11381962E+01
5.00000000E-01	1.82000000E+01	-2.70000000E+01	-2.31266642E+01	5.39802747E+01	-3.23898755E+01
6.60000000E+00	1.82000000E+01	-2.70000000E+01	-2.36514705E+01	5.37514900E+01	-3.06517719E+01
1.27000000E+01	1.82000000E+01	-2.70000000E+01	-2.49580088E+01	5.35807213E+01	-2.60843230E+01
1.88000000E+01	1.82000000E+01	-2.70000000E+01	-2.67412608E+01	5.35078354E+01	-1.91091320E+01
2.49000000E+01	1.82000000E+01	-2.70000000E+01	-2.85849168E+01	5.35498480E+01	-1.03700517E+01
-3.00000000E+01	-2.50000000E+01	-1.90000000E+01	-1.72347616E+01	3.90822860E+01	-1.61280820E+00
