zmin> 12.0
zmax> 72.0
nz> 120
! Z	            Fx	            Fy	            Fz
1.20000000E+01	0.00000000E+00	4.75528258E-01	0.00000000E+00
1.25042017E+01	0.00000000E+00	4.99998258E-01	0.00000000E+00
1.30084034E+01	0.00000000E+00	4.74705831E-01	0.00000000E+00
1.35126050E+01	0.00000000E+00	4.02168211E-01	0.00000000E+00
1.40168067E+01	0.00000000E+00	2.89604720E-01	0.00000000E+00
1.45210084E+01	0.00000000E+00	1.48218261E-01	0.00000000E+00
1.50252101E+01	0.00000000E+00	-7.91965029E-03	0.00000000E+00
1.55294118E+01	0.00000000E+00	-1.63269356E-01	0.00000000E+00
1.60336134E+01	0.00000000E+00	-3.02369647E-01	0.00000000E+00
1.65378151E+01	0.00000000E+00	-4.11376538E-01	0.00000000E+00
1.70420168E+01	0.00000000E+00	-4.79441097E-01	0.00000000E+00
1.75462185E+01	0.00000000E+00	-4.99789185E-01	0.00000000E+00
1.80504202E+01	0.00000000E+00	-4.70395655E-01	0.00000000E+00
1.85546218E+01	0.00000000E+00	-3.94185903E-01	0.00000000E+00
1.90588235E+01	0.00000000E+00	-2.78744720E-01	0.00000000E+00
1.95630252E+01	0.00000000E+00	-1.35561413E-01	0.00000000E+00
2.00672269E+01	0.00000000E+00	2.11136708E-02	0.00000000E+00
2.05714286E+01	0.00000000E+00	1.75687412E-01	0.00000000E+00
2.10756303E+01	0.00000000E+00	3.12775829E-01	0.00000000E+00
2.15798319E+01	0.00000000E+00	4.18735168E-01	0.00000000E+00
2.20840336E+01	0.00000000E+00	4.83019806E-01	0.00000000E+00
2.25882353E+01	0.00000000E+00	4.99231802E-01	0.00000000E+00
2.30924370E+01	0.00000000E+00	4.65757653E-01	0.00000000E+00
2.35966387E+01	0.00000000E+00	3.85928880E-01	0.00000000E+00
2.41008403E+01	0.00000000E+00	2.67690458E-01	0.00000000E+00
2.46050420E+01	0.00000000E+00	1.22810090E-01	0.00000000E+00
2.51092437E+01	0.00000000E+00	-3.42929768E-02	0.00000000E+00
2.56134454E+01	0.00000000E+00	-1.87983028E-01	0.00000000E+00
2.61176471E+01	0.00000000E+00	-3.22964031E-01	0.00000000E+00
2.66218487E+01	0.00000000E+00	-4.25801974E-01	0.00000000E+00
2.71260504E+01	0.00000000E+00	-4.86261891E-01	0.00000000E+00
2.76302521E+01	0.00000000E+00	-4.98326496E-01	0.00000000E+00
2.81344538E+01	0.00000000E+00	-4.60795056E-01	0.00000000E+00
2.86386555E+01	0.00000000E+00	-3.77402897E-01	0.00000000E+00
2.91428571E+01	0.00000000E+00	-2.56449639E-01	0.00000000E+00
2.96470588E+01	0.00000000E+00	-1.09973179E-01	0.00000000E+00
3.01512605E+01	0.00000000E+00	4.74483835E-02	0.00000000E+00
3.06554622E+01	0.00000000E+00	2.00147636E-01	0.00000000E+00
3.11596639E+01	0.00000000E+00	3.32927155E-01	0.00000000E+00
3.16638655E+01	0.00000000E+00	4.32572033E-01	0.00000000E+00
3.21680672E+01	0.00000000E+00	4.89165092E-01	0.00000000E+00
3.26722689E+01	0.00000000E+00	4.97073898E-01	0.00000000E+00
3.31764706E+01	0.00000000E+00	4.55511325E-01	0.00000000E+00
3.36806723E+01	0.00000000E+00	3.68613896E-01	0.00000000E+00
3.41848739E+01	0.00000000E+00	2.45030095E-01	0.00000000E+00
3.46890756E+01	0.00000000E+00	9.70596257E-02	0.00000000E+00
3.51932773E+01	0.00000000E+00	-6.05707226E-02	0.00000000E+00
3.56974790E+01	0.00000000E+00	-2.12172758E-01	0.00000000E+00
3.62016807E+01	0.00000000E+00	-3.42658257E-01	0.00000000E+00
3.67058824E+01	0.00000000E+00	-4.39040624E-01	0.00000000E+00
3.72100840E+01	0.00000000E+00	-4.91727386E-01	0.00000000E+00
3.77142857E+01	0.00000000E+00	-4.95474881E-01	0.00000000E+00
3.82184874E+01	0.00000000E+00	-4.49910140E-01	0.00000000E+00
3.87226891E+01	0.00000000E+00	-3.59568002E-01	0.00000000E+00
3.92268908E+01	0.00000000E+00	-2.33439787E-01	0.00000000E+00
3.97310924E+01	0.00000000E+00	-8.40784301E-02	0.00000000E+00
4.02352941E+01	0.00000000E+00	7.36508490E-02	0.00000000E+00
4.07394958E+01	0.00000000E+00	2.24050013E-01	0.00000000E+00
4.12436975E+01	0.00000000E+00	3.52150554E-01	0.00000000E+00
4.17478992E+01	0.00000000E+00	4.45203241E-01	0.00000000E+00
4.22521008E+01	0.00000000E+00	4.93946987E-01	0.00000000E+00
4.27563025E+01	0.00000000E+00	4.93530559E-01	0.00000000E+00
4.32605042E+01	0.00000000E+00	4.43995405E-01	0.00000000E+00
4.37647059E+01	0.00000000E+00	3.50271519E-01	0.00000000E+00
4.42689076E+01	0.00000000E+00	2.21686790E-01	0.00000000E+00
