xmin> 0.0
xmax> 100.0
nx> 11
ymin> 0.0
ymax> 100.0
ny> 11
! X	             Y	            Fx	            Fy	            Fz
0.00000000E+00	0.00000000E+00	0.00000000E+00	1.39750063E+00	0.00000000E+00
1.00000000E+01	0.00000000E+00	0.00000000E+00	1.39763249E+00	-8.54538822E-39
2.00000000E+01	0.00000000E+00	0.00000000E+00	1.39779673E+00	0.00000000E+00
3.00000000E+01	0.00000000E+00	1.66284739E-20	1.39807093E+00	-4.03840571E-22
4.00000000E+01	0.00000000E+00	8.14512952E-37	1.39838142E+00	9.96345676E-40
5.00000000E+01	0.00000000E+00	0.00000000E+00	-1.39898785E+00	0.00000000E+00
6.00000000E+01	0.00000000E+00	4.07914338E-19	-1.39883463E+00	-1.45397195E-19
7.00000000E+01	0.00000000E+00	-1.18565742E-18	-1.39810652E+00	9.67697646E-20
8.00000000E+01	0.00000000E+00	0.00000000E+00	-1.39696981E+00	0.00000000E+00
9.00000000E+01	0.00000000E+00	-1.18565742E-18	-1.39627810E+00	9.67697646E-20
1.00000000E+02	0.00000000E+00	0.00000000E+00	-1.39559668E+00	0.00000000E+00
0.00000000E+00	1.00000000E+01	0.00000000E+00	1.39750711E+00	1.34910263E-06
1.00000000E+01	1.00000000E+01	5.33580722E-05	1.39764716E+00	-4.07518837E-06
2.00000000E+01	1.00000000E+01	2.49055723E-04	1.39773694E+00	-6.68289140E-06
3.00000000E+01	1.00000000E+01	3.06925140E-04	1.39795312E+00	-7.45401080E-06
4.00000000E+01	1.00000000E+01	3.01335473E-04	1.39826331E+00	-8.07747690E-07
5.00000000E+01	1.00000000E+01	4.45271341E-03	-1.40297908E+00	-1.53673505E-03
6.00000000E+01	1.00000000E+01	8.13065323E-03	-1.40109524E+00	-1.80690515E-03
7.00000000E+01	1.00000000E+01	1.01549096E-02	-1.39745189E+00	-1.03563101E-03
8.00000000E+01	1.00000000E+01	1.10589879E-02	-1.39555915E+00	-9.02601068E-04
9.00000000E+01	1.00000000E+01	1.09941613E-02	-1.39479182E+00	-9.46029065E-04
1.00000000E+02	1.00000000E+01	7.08105791E-03	-1.39107329E+00	-1.20944853E-03
0.00000000E+00	2.00000000E+01	0.00000000E+00	1.39745800E+00	-2.23162056E-06
1.00000000E+01	2.00000000E+01	2.26333657E-04	1.39754114E+00	-6.57263932E-06
2.00000000E+01	2.00000000E+01	4.21230605E-04	1.39766207E+00	-1.32290180E-05
3.00000000E+01	2.00000000E+01	5.96048873E-04	1.39784511E+00	-8.77181489E-06
4.00000000E+01	2.00000000E+01	6.60839669E-04	1.39809221E+00	2.24549236E-06
5.00000000E+01	2.00000000E+01	4.12547036E-02	-1.41486974E+00	4.45406277E-03
6.00000000E+01	2.00000000E+01	2.05317739E-02	-1.40163442E+00	-4.15190338E-03
7.00000000E+01	2.00000000E+01	2.22556828E-02	-1.39802443E+00	-3.31586734E-03
8.00000000E+01	2.00000000E+01	2.28704686E-02	-1.39453760E+00	-2.24067853E-03
9.00000000E+01	2.00000000E+01	2.24324976E-02	-1.38875927E+00	-3.28777918E-03
1.00000000E+02	2.00000000E+01	2.09384726E-02	-1.38381460E+00	-4.06598925E-03
0.00000000E+00	3.00000000E+01	-1.23042272E-20	1.39729981E+00	-1.39230491E-05
1.00000000E+01	3.00000000E+01	2.63149601E-04	1.39729332E+00	-1.39280390E-05
2.00000000E+01	3.00000000E+01	4.90184975E-04	1.39737574E+00	-2.14950520E-05
3.00000000E+01	3.00000000E+01	7.89027066E-04	1.39751336E+00	-9.22004510E-06
4.00000000E+01	3.00000000E+01	1.05976010E-03	1.39764621E+00	1.58708855E-06
5.00000000E+01	3.00000000E+01	1.76703916E-01	-1.45170746E+00	2.86470224E-02
6.00000000E+01	3.00000000E+01	9.96283728E-02	-1.42075122E+00	1.11580577E-02
7.00000000E+01	3.00000000E+01	5.20011700E-02	-1.39699730E+00	2.71949360E-05
8.00000000E+01	3.00000000E+01	1.57766778E-01	-1.34366059E+00	-6.33468861E-03
9.00000000E+01	3.00000000E+01	8.01934158E-02	-1.36040514E+00	-5.01300762E-03
1.00000000E+02	3.00000000E+01	6.10321129E-02	-1.36409501E+00	-1.39021675E-02
0.00000000E+00	4.00000000E+01	2.46084544E-20	1.39718651E+00	-1.10447318E-05
1.00000000E+01	4.00000000E+01	2.45219198E-04	1.39719284E+00	-1.66860399E-05
2.00000000E+01	4.00000000E+01	5.79927835E-04	1.39716702E+00	-1.63992275E-05
3.00000000E+01	4.00000000E+01	9.63049162E-04	1.39721146E+00	3.92407673E-07
4.00000000E+01	4.00000000E+01	1.23373513E-03	1.39734432E+00	1.11628598E-05
5.00000000E+01	4.00000000E+01	5.43257985E-01	-1.28323293E+00	4.25660678E-02
6.00000000E+01	4.00000000E+01	3.14200300E-01	-1.37607589E+00	1.95652228E-02
7.00000000E+01	4.00000000E+01	2.65642162E-01	-1.33442292E+00	1.49821665E-03
8.00000000E+01	4.00000000E+01	2.73995470E-01	-1.30016122E+00	-1.06363990E-02
9.00000000E+01	4.00000000E+01	2.24056913E-01	-1.30731386E+00	-1.49165479E-02
1.00000000E+02	4.00000000E+01	1.00286436E-01	-1.29724033E+00	-2.88027786E-02
0.00000000E+00	5.00000000E+01	0.00000000E+00	1.39710066E+00	-1.56171629E-06
1.00000000E+01	5.00000000E+01	2.06243922E-04	1.39710941E+00	-8.20916561E-06
2.00000000E+01	5.00000000E+01	5.24166076E-04	1.39708000E+00	-1.69824742E-06
3.00000000E+01	5.00000000E+01	1.06708350E-03	1.39698092E+00	2.77959933E-05
4.00000000E+01	5.00000000E+01	1.59908843E-03	1.39711424E+00	4.54185673E-05
5.00000000E+01	5.00000000E+01	1.10502383E+00	-9.45554098E-01	6.79353358E-02
6.00000000E+01	5.00000000E+01	8.43439063E-01	-1.06338247E+00	3.25581699E-02
7.00000000E+01	5.00000000E+01	5.81854294E-01	-1.18121084E+00	-2.81899595E-03
8.00000000E+01	5.00000000E+01	3.77570942E-01	-1.22464739E+00	-3.04687824E-02
9.00000000E+01	5.00000000E+01	3.01545013E-01	-1.19642011E+00	-2.92221761E-02
1.00000000E+02	5.00000000E+01	1.71353512E-01	-1.17606738E+00	-3.94803978E-02
0.00000000E+00	6.00000000E+01	2.96703795E-33	9.72866948E-01	3.95042413E-03
1.00000000E+01	6.00000000E+01	3.07116609E-01	9.37944627E-01	-1.19269284E-02
2.00000000E+01	6.00000000E+01	6.15660331E-01	8.72964202E-01	-3.60125427E-03
3.00000000E+01	6.00000000E+01	9.75416130E-01	6.15526568E-01	2.49204042E-02
4.00000000E+01	6.00000000E+01	1.20327398E+00	2.27922597E-01	4.16628664E-02
5.00000000E+01	6.00000000E+01	1.10304612E+00	-4.69064176E-01	3.09082183E-02
6.00000000E+01	6.00000000E+01	8.99093427E-01	-7.19438357E-01	1.16426082E-02
7.00000000E+01	6.00000000E+01	6.70523826E-01	-8.52279844E-01	-1.72971057E-02
8.00000000E+01	6.00000000E+01	4.14796119E-01	-1.00067596E+00	5.63251963E-03
9.00000000E+01	6.00000000E+01	3.04094154E-01	-9.92589597E-01	7.86025081E-03
1.00000000E+02	6.00000000E+01	2.11146330E-01	-9.88994741E-01	-1.52762060E-02
0.00000000E+00	7.00000000E+01	2.96703795E-33	8.48165406E-01	-5.99750256E-03
1.00000000E+01	7.00000000E+01	3.04193595E-01	7.86917406E-01	-4.93059036E-03
2.00000000E+01	7.00000000E+01	6.01964106E-01	7.01101121E-01	3.13115328E-03
3.00000000E+01	7.00000000E+01	9.22184959E-01	5.16612713E-01	7.69980035E-03
4.00000000E+01	7.00000000E+01	1.10167097E+00	2.60678473E-01	1.25996818E-03
5.00000000E+01	7.00000000E+01	1.10106840E+00	7.42574703E-03	-6.11889921E-03
6.00000000E+01	7.00000000E+01	9.56457802E-01	-3.99136345E-01	-6.30953399E-03
7.00000000E+01	7.00000000E+01	7.77032822E-01	-5.86684421E-01	-2.19447147E-02
8.00000000E+01	7.00000000E+01	4.90929695E-01	-7.48121033E-01	-4.49847043E-04
9.00000000E+01	7.00000000E+01	3.21074602E-01	-7.55711581E-01	2.51789173E-02
1.00000000E+02	7.00000000E+01	1.98332732E-01	-7.81348842E-01	1.76325274E-03
0.00000000E+00	8.00000000E+01	0.00000000E+00	6.83107211E-01	5.91798629E-04
1.00000000E+01	8.00000000E+01	2.94658468E-01	5.43016136E-01	1.03875576E-02
2.00000000E+01	8.00000000E+01	5.91356010E-01	4.79235205E-01	1.56410796E-02
3.00000000E+01	8.00000000E+01	7.99506857E-01	3.67219743E-01	7.28602313E-03
4.00000000E+01	8.00000000E+01	8.97283017E-01	1.62304782E-01	-3.23203244E-03
5.00000000E+01	8.00000000E+01	1.00845233E+00	4.61521059E-02	-1.34608143E-02
6.00000000E+01	8.00000000E+01	8.92293117E-01	-1.90142268E-01	-1.84825593E-02
7.00000000E+01	8.00000000E+01	7.04970633E-01	-3.25387056E-01	-5.96388622E-03
8.00000000E+01	8.00000000E+01	5.17648149E-01	-4.60631844E-01	6.55478687E-03
9.00000000E+01	8.00000000E+01	3.58604176E-01	-5.20634344E-01	6.95163207E-03
1.00000000E+02	8.00000000E+01	2.28580004E-01	-5.28779383E-01	-1.12493230E-03
0.00000000E+00	9.00000000E+01	0.00000000E+00	5.09396536E-01	1.86302244E-02
1.00000000E+01	9.00000000E+01	2.66872668E-01	3.83024104E-01	1.92617157E-02
2.00000000E+01	9.00000000E+01	5.56549793E-01	3.63156435E-01	2.20263565E-02
3.00000000E+01	9.00000000E+01	7.68999804E-01	2.86850013E-01	9.15939985E-03
4.00000000E+01	9.00000000E+01	8.39616146E-01	1.54241585E-01	-4.54101477E-03
5.00000000E+01	9.00000000E+01	8.79037821E-01	1.32959799E-02	-1.70205880E-02
6.00000000E+01	9.00000000E+01	8.02661153E-01	-1.07010919E-01	-9.67911800E-03
7.00000000E+01	9.00000000E+01	6.67836365E-01	-2.49279886E-01	7.33351851E-03
8.00000000E+01	9.00000000E+01	5.04268918E-01	-3.64617287E-01	1.78552200E-02
9.00000000E+01	9.00000000E+01	3.40281294E-01	-3.77142213E-01	3.92034071E-03
1.00000000E+02	9.00000000E+01	2.23103729E-01	-3.62125815E-01	-3.12919678E-03
