@ NAME             %09s "MAP_TABLE"
@ TYPE             %07s "MAP_TAB"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.04.01 Darwin 64"
@ DATE             %08s "06/09/18"
@ TIME             %08s "11.03.12"
* NAME                                 COEF   N_VECTOR         NV      ORDER         NX        NXP         NY        NYP    NDELTAP         NT 
$ %s                                    %le         %d         %d         %d         %d         %d         %d         %d         %d         %d 
 "C1_000000"         -6.911745185407928e-10          1          5          0          0          0          0          0          0          0
 "C1_100000"          4.679776579748782e-01          1          5          1          1          0          0          0          0          0
 "C1_010000"          3.663287762736070e+01          1          5          1          0          1          0          0          0          0
 "C1_001000"          6.052646637112896e-10          1          5          1          0          0          1          0          0          0
 "C1_000100"         -3.320178711503461e-08          1          5          1          0          0          0          1          0          0
 "C1_000010"          9.632677772941151e-01          1          5          1          0          0          0          0          1          0
 "C1_200000"         -2.587315074997712e+01          1          5          2          2          0          0          0          0          0
 "C1_110000"         -1.642943669111281e+03          1          5          2          1          1          0          0          0          0
 "C1_101000"          1.776995399788670e-07          1          5          2          1          0          1          0          0          0
 "C1_100100"          2.025975411487528e-05          1          5          2          1          0          0          1          0          0
 "C1_100010"         -1.294439451786358e+02          1          5          2          1          0          0          0          1          0
 "C1_020000"         -3.812405485273859e+04          1          5          2          0          2          0          0          0          0
 "C1_011000"         -3.427204467019593e-06          1          5          2          0          1          1          0          0          0
 "C1_010100"         -1.313156692916137e-04          1          5          2          0          1          0          1          0          0
 "C1_010010"         -9.490409864157326e+03          1          5          2          0          1          0          0          1          0
 "C1_002000"          1.070650213148464e+01          1          5          2          0          0          2          0          0          0
 "C1_001100"         -1.318516326692496e+03          1          5          2          0          0          1          1          0          0
 "C1_001010"          4.264061726084779e+00          1          5          2          0          0          1          0          1          0
 "C1_000200"          2.461797176490606e+04          1          5          2          0          0          0          2          0          0
 "C1_000110"         -4.082058399090755e+02          1          5          2          0          0          0          1          1          0
 "C1_000020"          5.092905102522350e+01          1          5          2          0          0          0          0          2          0
 "C1_300000"         -2.839048177081662e+04          1          5          3          3          0          0          0          0          0
 "C1_210000"         -1.731019179393921e+06          1          5          3          2          1          0          0          0          0
 "C1_201000"          1.707889456658128e-05          1          5          3          2          0          1          0          0          0
 "C1_200100"         -6.904077813942892e-04          1          5          3          2          0          0          1          0          0
 "C1_200010"          7.674770451119442e+04          1          5          3          2          0          0          0          1          0
 "C1_120000"         -4.998814149881732e+07          1          5          3          1          2          0          0          0          0
 "C1_111000"          7.421515603887220e-04          1          5          3          1          1          1          0          0          0
 "C1_110100"          1.152629627073572e-03          1          5          3          1          1          0          1          0          0
 "C1_110010"          2.910724524853487e+06          1          5          3          1          1          0          0          1          0
 "C1_102000"          1.786848619879477e+04          1          5          3          1          0          2          0          0          0
 "C1_101100"         -2.243590667289765e+06          1          5          3          1          0          1          1          0          0
 "C1_101010"          5.033402539087344e+03          1          5          3          1          0          1          0          1          0
 "C1_100200"          8.485714823153891e+07          1          5          3          1          0          0          2          0          0
 "C1_100110"         -1.379466050746858e+05          1          5          3          1          0          0          1          1          0
 "C1_100020"         -1.589851604026240e+05          1          5          3          1          0          0          0          2          0
 "C1_030000"         -3.110103911597633e+08          1          5          3          0          3          0          0          0          0
 "C1_021000"          1.300802227032024e-02          1          5          3          0          2          1          0          0          0
 "C1_020100"          4.306817179632628e-01          1          5          3          0          2          0          1          0          0
